INFO:root:Running "add" with arguments (3, 3)
INFO:root:Running "add" with arguments (4, 5)
INFO:root:Running "sub" with arguments (10, 5)
INFO:root:Running "sub" with arguments (20, 10)
INFO:root:Running "mul" with arguments (3, 3)
INFO:root:Running "mul" with arguments (5, 5)
2025-07-10 11:28:05,546:INFO:Running "add" with arguments (3, 3)
2025-07-10 11:28:05,546:INFO:Running "add" with arguments (4, 5)
2025-07-10 11:28:05,546:INFO:Running "sub" with arguments (10, 5)
2025-07-10 11:28:05,546:INFO:Running "sub" with arguments (20, 10)
2025-07-10 11:28:05,546:INFO:Running "mul" with arguments (3, 3)
2025-07-10 11:28:05,546:INFO:Running "mul" with arguments (5, 5)
2025-07-10 11:28:22,274:INFO:Running "add" with arguments (3, 3)
2025-07-10 11:28:22,274:INFO:Running "add" with arguments (4, 5)
2025-07-10 11:28:22,274:INFO:Running "sub" with arguments (10, 5)
2025-07-10 11:28:22,276:INFO:Running "sub" with arguments (20, 10)
2025-07-10 11:28:22,276:INFO:Running "mul" with arguments (3, 3)
2025-07-10 11:28:22,276:INFO:Running "mul" with arguments (5, 5)
